['m.01_d4', 'location.citytown.postal_codes', 'm.07nqmhw']
['m.09c7w0', 'base.locations.countries.states_provinces_within', 'm.06yxd']
['m.0fv_t', 'base.biblioness.bibs_location.state', 'm.06yxd']
['m.01_d4', 'location.citytown.postal_codes', 'm.07nqmhf']
['m.04yz499', 'military.military_command.military_conflict', 'm.014pd3']
['m.03v0t', 'location.location.contains', 'm.02jw0z']
['m.01zmpg', 'music.artist.genre', 'm.06j6l']
['m.02srz6', 'music.album.genre', 'm.05bt6j']
['m.01hl3t4', 'music.album.genre', 'm.0ggx5q']
['m.04g4sb5', 'location.imports_exports_by_industry.industry', 'm.03xm3m']
['m.04g36q3', 'education.education.institution', 'm.0bx8pn']
['m.0v43grl', 'film.performance.film', 'm.065mvrb']
['m.0652zrb', 'people.sibling_relationship.sibling', 'm.09889g']
['m.01_d4', 'location.citytown.postal_codes', 'm.01_6pxw']
['m.09889g', 'music.artist.album', 'm.06308p']
['m.09hxlzp', 'military.military_command.military_conflict', 'm.06bjm']
['m.04yxtkk', 'military.military_command.military_conflict', 'm.01hgpt']
['m.01_d4', 'location.location.contains', 'm.021czc']
['m.04g4sbz', 'location.imports_exports_by_industry.industry', 'm.0c_jw']
['m.064t9', 'media_common.netflix_genre.titles', 'm.036ytw']
['m.0v41rbr', 'film.performance.film', 'm.0_cdzjp']
['m.01_d4', 'location.citytown.postal_codes', 'm.07nqmj9']
['m.04g4sb5', 'location.imports_exports_by_industry.industry', 'm.03qtd_n']
['m.0vzm', 'location.location.time_zones', 'm.02fqwt']
['m.0vzm', 'location.location.containedby', 'm.09c7w0']
['m.05bt6j', 'music.genre.albums', 'm.02st0w']
['m.01_d4', 'travel.travel_destination.tourist_attractions', 'm.02vv_6w']
['m.02srz6', 'music.album.genre', 'm.06by7']
['m.09889g', 'film.writer.film', 'm.036ytw']
['m.027hqc_', 'dataworld.gardening_hint.split_to', 'm.02rvwrv']
['m.01_d4', 'location.citytown.postal_codes', 'm.01_71cx']
['m.0djb8gt', 'film.performance.film', 'm.027fwmt']
['m.01_d4', 'location.citytown.postal_codes', 'm.07nqmfx']
['m.0w7m2x9', 'location.location.containedby', 'm.01_d4']
